"BirdID","StartTown","Year","EndTown","Disperser","Developed","Agriculture","Wetland","Grassland","Road_KM","X","Y","Ag_Indx","Connectance","Edg_Dns","Sex","Age","Flock.Size"
8,"Greenfield Twp",2018,"T32 MD BPP",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"M","A",NA
19,"Exeter",2018,"Exeter",0,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"M","A",NA
34,"Bradford",2018,"Bradford",0,0.038440426627933,0.110634452823497,0.220255537633955,0.018333516302558,148.178120319538,507343.655250906,4992760.30080129,87.3604143513977,24.0378421304912,84.0393334908473,"M","A",NA
144,"Buckfield",2020,"Buckfield",0,0.049064452891315,0.074245533947521,0.119564116959495,0.015029497574848,424.004100183912,390687.257731733,4904279.65242522,90.4924310932933,35.6062257105512,63.0858685813351,"M","A",15
145,"Buckfield",2020,"Buckfield",0,0.049064452891315,0.074245533947521,0.119564116959495,0.015029497574848,424.004100183912,390687.257731733,4904279.65242522,90.4924310932933,35.6062257105512,63.0858685813351,"M","J",15
152,"Buckfield",2020,"Buckfield",0,0.049064452891315,0.074245533947521,0.119564116959495,0.015029497574848,424.004100183912,390687.257731733,4904279.65242522,90.4924310932933,35.6062257105512,63.0858685813351,"M","A",15
162,"Hermon",2020,"Orrington",1,0.12677533664068,0.125726435152374,0.218936924167257,0.013607370659107,788.019608271144,507223.57637188,4962306.86355606,89.297433241963,25.5625801335962,70.9486358815551,"M","J",16
170,"Unity",2020,"Unity",0,0.039468151312802,0.110406539619531,0.243108001278321,0.02057087110827,410.172965377657,472790.264410473,4937519.27446845,90.5060844948597,27.4312374561862,63.5116736422772,"M","A",30
174,"Bucksport",2020,"Bucksport",0,0.058393689818189,0.043043901683962,0.060612314657758,0.03420164977975,330.640014809812,520192.106158892,4943107.69593495,90.7953762116285,36.4896147416183,60.7388504384213,"M","A",15
186,"Stockton Springs",2020,"Stockton Springs",0,0.083819384118992,0.041696952505895,0.068626234332618,0.021078944102682,113.88638487445,511726.954350303,4928282.63639528,87.8047259789477,32.2441202589628,78.4018515566419,"M","J",20
217,"Houlton",2019,"Littleton",1,0.136417421596191,0.263217183047927,0.2389837086682,0.015638163935668,405.874901186839,589380.114589748,5110287.48002286,88.4901519999221,29.8808961169215,76.6568877953377,"M","A",125
224,"Albion",2019,"Unity",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",40
230,"Belgrade",2020,"Sidney",1,0.0664790017346,0.046336032267164,0.160447514840135,0.018354350605309,510.405560895371,433059.372679755,4926662.81529456,90.4637648317444,28.1320772566141,63.1472028440435,"M","A",9
234,"Houlton",2019,"Littleton",1,0.136417421596191,0.263217183047927,0.2389837086682,0.015638163935668,405.874901186839,589380.114589748,5110287.48002286,88.4901519999221,29.8808961169215,76.6568877953377,"M","A",125
248,"Albion",2020,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
251,"Greenfield Twp",2018,"Summit Twp",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
258,"Bradford",2018,"Bradford",0,0.038440426627933,0.110634452823497,0.220255537633955,0.018333516302558,148.178120319538,507343.655250906,4992760.30080129,87.3604143513977,24.0378421304912,84.0393334908473,"F","J",NA
275,"Exeter",2018,"Exeter",0,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"F","A",NA
280,"Exeter",2018,"Corinth",1,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"F","A",NA
281,"Exeter",2018,"Exeter",0,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"F","A",NA
286,"T32 MD BPP",2018,"T32 MD BPP",0,0.009183188484519,0.00493108365019,0.270870111352526,0.018247555676263,1.72573795533293,545294.351344689,4976785.64913396,92.142669811543,34.83343136389,52.2553234792785,"F","A",NA
291,"Bradford",2018,"Bradford",0,0.038440426627933,0.110634452823497,0.220255537633955,0.018333516302558,148.178120319538,507343.655250906,4992760.30080129,87.3604143513977,24.0378421304912,84.0393334908473,"F","A",NA
352,"Gorham",2018,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"F","A",NA
354,"Greenfield Twp",2018,"Summit Twp",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
355,"Greenfield Twp",2018,"T39 MD BPP",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
356,"Greenfield Twp",2018,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
359,"Greenfield Twp",2018,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
359,"Greenfield Twp",2018,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
361,"Greenfield Twp",2018,"Greenfield Twp",0,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
362,"Greenfield Twp",2018,"T39 MD BPP",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",NA
365,"Gorham",2018,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"F","A",NA
372,"Gorham",2018,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"F","J",NA
381,"Gray",2019,"Gray",0,0.106620509293203,0.050989788436973,0.094829215198676,0.007974240557517,802.964034771659,391606.98964386,4860282.2562228,89.1720588196718,29.5557231728656,72.1075998297662,"F","A",40
392,"Old Town",2019,"Old Town",0,0.096337888352903,0.019776333545315,0.272998712599463,0.008112174466039,334.622466040187,521882.662482543,4977422.95437953,91.2776194681099,29.1399564717289,56.7704539466547,"F","A",22
395,"Old Town",2019,"Alton",1,0.096337888352903,0.019776333545315,0.272998712599463,0.008112174466039,334.622466040187,521882.662482543,4977422.95437953,91.2776194681099,29.1399564717289,56.7704539466547,"F","A",22
396,"Old Town",2019,"Old Town",0,0.096337888352903,0.019776333545315,0.272998712599463,0.008112174466039,334.622466040187,521882.662482543,4977422.95437953,91.2776194681099,29.1399564717289,56.7704539466547,"F","A",22
401,"Orono",2019,"Orono",0,0.180097983527407,0.030673104231752,0.228290968474865,0.010011360408975,590.564697079862,522383.613244527,4970403.30323649,90.2877957920918,27.3788662031802,63.6049295150279,"F","A",13
409,"Newport",2019,"Palmyra",1,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"F","J",25
410,"Newport",2019,"Palmyra",1,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"F","A",25
411,"Newport",2019,"Newport",0,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"F","A",25
420,"Greenfield Twp",2019,"Milford",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",11
423,"Greenfield Twp",2019,"Greenbush",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",11
424,"Hampden",2019,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","J",35
426,"Hampden",2019,"Hampden",0,0.128603488541819,0.089092833163042,0.084221281564735,0.017734637279229,787.966122665553,508635.981179355,4953506.6488115,88.7484889801639,28.4832548993139,74.0791384832297,"F","A",35
435,"Milford",2019,"Greenbush",1,0.044294311257729,0.005814522749697,0.411294635123634,0.010845741916533,303.690623266537,533666.388392132,4980896.32674705,91.394124106014,28.8236087196503,57.2249404089826,"F","A",12
444,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
445,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
447,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
450,"Bangor",2019,"Greenbush",1,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
476,"Newport",2019,"Newport",0,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"M","A",4
478,"Newport",2019,"Corinna",1,0.071899543808494,0.108470112401825,0.132201476743639,0.010177303296807,421.319145403071,481597.471495056,4967454.40343411,89.7595251675688,26.3037859857987,68.1265664160401,"M","A",4
480,"Guilford",2020,"Monson",1,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","J",15
481,"Guilford",2020,"Guilford",0,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","J",15
487,"Bowerbank",2020,"Sebec",1,0.018646479761748,0.001026950104896,0.104660886404648,0.044276220236785,181.775647591225,480137.716534702,5018692.68991266,87.4277030886541,22.9109910439119,83.0444416756449,"M","A",6
532,"Poland",2020,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
536,"Poland",2020,"Poland",0,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
546,"Poland",2020,"Auburn",1,0.080337144877991,0.066876399858541,0.083453672049982,0.034200754450077,1153.37826018279,388646.543239526,4877958.56494376,88.6179766881486,26.7095962279377,75.3442816113116,"M","A",8
547,"Orono",2020,"Lowell",1,0.180097983527407,0.030673104231752,0.228290968474865,0.010011360408975,590.564697079862,522383.613244527,4970403.30323649,90.2877957920918,27.3788662031802,63.6049295150279,"M","A",8
551,"Strong",2020,"Strong",0,0.04966541321768,0.037807705707798,0.079952425003304,0.010512152047767,372.161710867668,404714.289031758,4960785.47819965,90.9677065849731,40.2929848103817,59.2931402914836,"M","J",14
558,"Thorndike",2019,"Thorndike",0,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","J",40
559,"Thorndike",2019,"Unity",1,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",40
560,"Thorndike",2019,"Thorndike",0,0.046485370051635,0.122423407917384,0.053631669535284,0.023228915662651,313.734483345385,481151.661225835,4937829.27174183,88.7086274946378,33.7761436126639,74.9388848374772,"M","A",40
561,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",21
564,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",21
581,"Winterport",2019,"Winterport",0,0.071362209421728,0.103752457140622,0.063342884805336,0.028634856679022,463.489957695383,506724.874227557,4945007.06593935,89.1810273972706,32.7947865180025,71.0564639879585,"M","A",11
582,"Winterport",2019,"Winterport",0,0.071362209421728,0.103752457140622,0.063342884805336,0.028634856679022,463.489957695383,506724.874227557,4945007.06593935,89.1810273972706,32.7947865180025,71.0564639879585,"M","A",11
586,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",19
589,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",19
591,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",19
597,"Albion",2019,"Unity",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
599,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
602,"Albion",2019,"Benton",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",10
604,"China",2019,"China",0,0.060906316323847,0.085707994642104,0.173703493030453,0.012624084845593,652.875244674294,457578.824987481,4918467.86202477,89.0029177340088,25.0160600382649,73.4952890247008,"M","A",6
608,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",40
613,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",40
616,"Frankfort",2019,"Monroe",1,0.046918405807217,0.077825085502897,0.061785440078174,0.030320374118797,340.317189643111,506221.943720885,4938341.11509434,89.375760556517,35.0744752564241,69.7360772003255,"M","A",30
618,"Frankfort",2019,"Monroe",1,0.046918405807217,0.077825085502897,0.061785440078174,0.030320374118797,340.317189643111,506221.943720885,4938341.11509434,89.375760556517,35.0744752564241,69.7360772003255,"M","A",30
621,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","A",50
623,"Glenburn",2019,"Levant",1,0.069350990217132,0.066141732283465,0.140062037699833,0.010164638511095,738.710515944328,511931.838510414,4972698.00977135,88.4487257021287,26.7522778426434,76.2689301368176,"M","A",5
630,"Monroe",2019,"Swanville",1,0.040468042633586,0.080232060742167,0.113490535771575,0.026307346807828,463.844369142313,496369.383232202,4939312.32088828,89.4947715366939,33.6050280468203,69.6263582319019,"M","J",35
638,"Gorham",2019,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"M","J",12
641,"Gorham",2019,"Gorham",0,0.1667628115944,0.184116405491798,0.069265068172409,0.012161767799819,1365.43795628491,382515.465159767,4839965.43835451,87.5867310682347,23.3215232448945,82.0713923867419,"M","J",12
