"StartWMD","Sex","Long","Lat","p","rho","mu","k","rate","R","Step","BirdID","ID","CellID","HS","D","x","y","B","TurnA","W"
0,"M",494583.994934539,5087323.21194044,4.32180569858869,0.0363809982633963,0,0.604296871938406,0.00396120429058248,547.533107324124,0,10,1,NA,NA,NA,494583.994934539,5087323.21194044,126.163623752072,-1.74532100828841,NA
0,"M",494583.994934539,5087323.21194044,4.32180569858869,0.0363809982633963,0,0.604296871938406,0.00396120429058248,547.533107324124,0,10,2,NA,NA,NA,491343.994934539,5085373.21194044,83.3625623211265,0.0154741110731234,NA
"StartWMD" "Sex" "Long" "Lat" "p" "rho" "mu" "k" "rate" "R" "Step" "BirdID" "ID" "CellID" "HS" "D" "x" "y" "B" "TurnA" "W"
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 0 1 1 NA NA NA 502083.994934539 5098213.21194044 245.151599608362 -2.2584180606573 NA
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 1 1 1 490061677 0.554440081119537 330.102717640582 501916.496282147 5097928.76158336 210.511097923633 0.604590808941156 4.09835339247135e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 2 1 1 490169677 0.537881016731262 127.279220613579 501826.496282147 5097838.76158336 225.017825671792 0.253190162895787 7.77273060610691e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 3 1 1 490277672 0.475843667984009 256.320112359526 501586.496282147 5097748.76158336 249.460942869761 0.426612874555426 3.43989255762424e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 4 1 1 490205667 0.473648875951767 108.16653826392 501496.496282147 5097808.76158336 303.704823140135 0.946734309775617 4.45668538515205e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 5 1 1 489305650 0.513048827648163 787.464284904401 501736.496282147 5098558.76158336 17.7585912050453 1.29248207624091 4.54379351790154e-06
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 6 1 1 488945644 0.539878904819489 323.10988842807 501856.496282147 5098858.76158336 21.817564624421 0.0708424504190387 4.27676079837817e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 7 1 1 488657633 0.534687995910645 256.320112359526 501766.496282147 5099098.76158336 339.461227847126 0.739257535847366 4.50551119670826e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 8 1 1 488729631 0.589125752449036 134.164078649987 501646.496282147 5099038.76158336 243.451385390724 1.67568786518525 6.17097302825636e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 9 1 1 488801659 0.487966805696487 782.304288624318 502426.496282147 5098978.76158336 94.4140250675921 2.60119264611982 2.67757138621764e-06
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 10 1 1 488801649 0.481293380260468 300 502126.496282147 5098978.76158336 270.022576861797 3.06494742346787 1.45902013461742e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 11 1 1 489053654 0.491369366645813 218.403296678416 502066.496282147 5098768.76158336 195.96518116005 1.29254539044777 3.14885093728758e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 12 1 1 489089670 0.528420448303223 450.998891351187 502516.496282147 5098738.76158336 93.8333008326972 1.78253758296514 1.45690179968988e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 13 1 1 488585668 0.507495641708374 553.172667437573 502876.496282147 5099158.76158336 40.624707910762 0.928665136841119 1.23133530194942e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 14 1 1 488477673 0.520159065723419 256.320112359526 503116.496282147 5099248.76158336 69.4707202776698 0.503457891873543 4.45536434320879e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 15 1 1 866054730 0.493130445480347 333.659109436107 502830.276064357 5099420.24449283 300.956058791019 2.243003980028 1.56103419952233e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 16 1 1 487865645 0.480680286884308 341.336329616058 502786.496282147 5099758.76158336 352.657284759422 0.90235662046622 2.26732614347377e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 17 1 1 487001619 0.456708580255508 722.495674727538 502726.496282147 5100478.76158336 355.262292471231 0.0454659616109152 5.83232819705272e-06
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 18 1 1 487361645 0.508854627609253 566.038867923396 503206.496282147 5100178.76158336 122.030762696114 2.21252719314061 7.45364879143519e-06
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 19 1 1 487325647 0.484848141670227 94.8683298050514 503296.496282147 5100208.76158336 71.5948967012877 0.880271922704372 5.07400823797416e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 20 1 1 487145657 0.44741752743721 474.341649025257 503746.496282147 5100358.76158336 71.5957349887813 1.46308768424855e-05 1.38335529918778e-05
0 "M" 502083.994934539 5098213.21194044 1.41754727477446 0.197088411569562 0 1.17513313286618 0.00403383363171864 824.731798333195 21 1 1 NA NA NA 497763.994934539 5096263.21194044 NA NA NA
